Survived,Pclass,Name,Sex,Age,SibSp,Fare,Embarked
0,3,"Braund, Mr. Owen Harris",male,22,1,7.25,Southampton
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,71.2833,Cherbourg
1,3,"Heikkinen, Miss. Laina",female,26,0,7.925,Southampton
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,53.1,Southampton
0,3,"Allen, Mr. William Henry",male,35,0,8.05,Southampton
0,3,"Moran, Mr. James",male,40,0,8.4583,Queenstown
0,1,"McCarthy, Mr. Timothy J",male,54,0,51.8625,Southampton
0,3,"Palsson, Master. Gosta Leonard",male,2,3,21.075,Southampton
1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,11.1333,Southampton
1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,30.0708,Cherbourg
1,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,16.7,Southampton
1,1,"Bonnell, Miss. Elizabeth",female,58,0,26.55,Southampton
0,3,"Saundercock, Mr. William Henry",male,20,0,8.05,Southampton
0,3,"Andersson, Mr. Anders Johan",male,39,1,31.275,Southampton
0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,7.8542,Southampton
1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,16,Southampton
0,3,"Rice, Master. Eugene",male,2,4,29.125,Queenstown
1,2,"Williams, Mr. Charles Eugene",male,24,0,13,Southampton
0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,18,Southampton
1,3,"Masselmani, Mrs. Fatima",female,30,0,7.225,Cherbourg
0,2,"Fynney, Mr. Joseph J",male,35,0,26,Southampton
1,2,"Beesley, Mr. Lawrence",male,34,0,13,Southampton
1,3,"McGowan, Miss. Anna ""Annie""",female,15,0,8.0292,Queenstown
1,1,"Sloper, Mr. William Thompson",male,28,0,35.5,Southampton
0,3,"Palsson, Miss. Torborg Danira",female,8,3,21.075,Southampton
1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,31.3875,Southampton
0,3,"Emir, Mr. Farred Chehab",male,56,0,7.225,Cherbourg
0,1,"Fortune, Mr. Charles Alexander",male,19,3,263,Southampton
1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,23,0,7.8792,Queenstown
0,3,"Todoroff, Mr. Lalio",male,11,0,7.8958,Southampton
0,1,"Uruchurtu, Don. Manuel E",male,40,0,27.7208,Cherbourg
1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,52,1,146.5208,Cherbourg
1,3,"Glynn, Miss. Mary Agatha",female,17,0,7.75,Queenstown
0,2,"Wheadon, Mr. Edward H",male,66,0,10.5,Southampton
0,1,"Meyer, Mr. Edgar Joseph",male,28,1,82.1708,Cherbourg
0,1,"Holverson, Mr. Alexander Oskar",male,42,1,52,Southampton
1,3,"Mamée, Mr. Hanna",male,23,0,7.2292,Cherbourg
0,3,"Cann, Mr. Ernest Charles",male,21,0,8.05,Southampton
0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,18,Southampton
1,3,"Nicola-Yarred, Miss. Jamila",female,14,1,11.2417,Cherbourg
0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,9.475,Southampton
0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,21,Southampton
0,3,"Kraeff, Mr. Theodor",male,34,0,7.8958,Cherbourg
1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,41.5792,Cherbourg
1,3,"Devaney, Miss. Margaret Delia",female,19,0,7.8792,Queenstown
0,3,"Rogers, Mr. William John",male,45,0,8.05,Southampton
0,3,"Lennon, Mr. Denis",male,36,1,15.5,Queenstown
1,3,"O'Driscoll, Miss. Bridget",female,66,0,7.75,Queenstown
0,3,"Samaan, Mr. Youssef",male,23,2,21.6792,Cherbourg
0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,17.8,Southampton
0,3,"Panula, Master. Juha Niilo",male,7,4,39.6875,Southampton
0,3,"Nosworthy, Mr. Richard Cater",male,21,0,7.8,Southampton
1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,76.7292,Cherbourg
1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,26,Southampton
0,1,"Ostby, Mr. Engelhart Cornelius",male,65,0,61.9792,Cherbourg
1,1,"Woolner, Mr. Hugh",male,77,0,35.5,Southampton
1,2,"Rugg, Miss. Emily",female,21,0,10.5,Southampton
0,3,"Novel, Mr. Mansouer",male,28.5,0,7.2292,Cherbourg
1,2,"West, Miss. Constance Mirium",female,5,1,27.75,Southampton
0,3,"Goodwin, Master. William Frederick",male,11,5,46.9,Southampton
0,3,"Sirayanian, Mr. Orsen",male,22,0,7.2292,Cherbourg
1,1,"Icard, Miss. Amelie",female,38,0,80,
0,1,"Harris, Mr. Henry Birkhardt",male,45,1,83.475,Southampton
0,3,"Skoog, Master. Harald",male,4,3,27.9,Southampton
0,1,"Stewart, Mr. Albert A",male,32,0,27.7208,Cherbourg
1,3,"Moubarek, Master. Gerios",male,,1,15.2458,Cherbourg
1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,10.5,Southampton
0,3,"Crease, Mr. Ernest James",male,19,0,8.1583,Southampton
1,3,"Andersson, Miss. Erna Alexandra",female,17,4,7.925,Southampton
0,3,"Kink, Mr. Vincenz",male,26,2,8.6625,Southampton
0,2,"Jenkin, Mr. Stephen Curnow",male,32,0,10.5,Southampton
0,3,"Goodwin, Miss. Lillian Amy",female,16,5,46.9,Southampton
0,2,"Hood, Mr. Ambrose Jr",male,21,0,73.5,Southampton
0,3,"Chronopoulos, Mr. Apostolos",male,26,1,14.4542,Cherbourg
1,3,"Bing, Mr. Lee",male,32,0,56.4958,Southampton
0,3,"Moen, Mr. Sigurd Hansen",male,25,0,7.65,Southampton
0,3,"Staneff, Mr. Ivan",male,44,0,7.8958,Southampton
0,3,"Moutal, Mr. Rahamin Haim",male,30,0,8.05,Southampton
1,2,"Caldwell, Master. Alden Gates",male,30,0,29,Southampton
1,3,"Dowdell, Miss. Elizabeth",female,24,0,12.475,Southampton
0,3,"Waelens, Mr. Achille",male,18,0,9,Southampton
1,3,"Sheerlinck, Mr. Jan Baptist",male,26,0,9.5,Southampton
1,3,"McDermott, Miss. Brigdet Delia",female,28,0,7.7875,Queenstown
0,1,"Carrau, Mr. Francisco M",male,43,0,47.1,Southampton
1,2,"Ilett, Miss. Bertha",female,26,0,10.5,Southampton
1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,24,3,15.85,Southampton
0,3,"Ford, Mr. William Neal",male,54,1,34.375,Southampton
0,3,"Slocovski, Mr. Selman Francis",male,48,0,8.05,Southampton
1,1,"Fortune, Miss. Mabel Helen",female,23,3,263,Southampton
0,3,"Celotti, Mr. Francesco",male,24,0,8.05,Southampton
0,3,"Christmann, Mr. Emil",male,29,0,8.05,Southampton
0,3,"Andreasson, Mr. Paul Edvin",male,20,0,7.8542,Southampton
0,1,"Chaffee, Mr. Herbert Fuller",male,46,1,61.175,Southampton
0,3,"Dean, Mr. Bertram Frank",male,26,1,20.575,Southampton
0,3,"Coxon, Mr. Daniel",male,59,0,7.25,Southampton
